Terim_TR,StandartKarsilik_EN,Terim_ES,Terim_PT,Terim_RU,KisaKod,NamingToken_TR,KullanimTipi,KategoriKumesi,Kaynak
Tespit,Detection,Detection,Detection,Detection,,Tespit,token,Param Token,semantic_dictionary
Tip,Type,Tipo,Tipo,Тип,,Tip,manual_seed,Multilingual,manual+research_seed
Tip Adı,Type Name,Nombre de tipo,Nome do tipo,Имя типа,,TipAdi,manual_seed,Multilingual,manual+research_seed
Tip İşareti,Type Mark,Marca de tipo,Marca de tipo,Марка типа,,TipIsareti,manual_seed,Multilingual,manual+research_seed
Tipi,Type,Type,Type,Type,,Tipi,token,Param Token,semantic_dictionary
TMMOB Mimarlar Odası sicil no,Chamber of Architects license number,Chamber of Architects license número,Chamber of Architects license número,Chamber of Architects license номер,,TMMOBMimarlarOdasisicilno,aciklama,Description,semantic_dictionary
Toplam,Total,Total,Total,Total,,Toplam,token,Param Token,semantic_dictionary
Toplam inşaat alanı (m2),Total construction area (m2),Total construcción área (m2),Total construção área (m2),Total строительство площадь (m2),,Toplaminsaatalani(m2),aciklama,Description,semantic_dictionary
Toplam kat adedi (bodrum dahil),Total number of storeys (including basement),Total número of storeys (including basement),Total número of storeys (including basement),Total номер of storeys (including basement),,Toplamkatadedi(bodrumdahil),aciklama,Description,semantic_dictionary
Toplam tutar (TL),Total amount (TRY),Total amount (TRY),Total amount (TRY),Total amount (TRY),,Toplamtutar(TL),aciklama,Description,semantic_dictionary
ToplamInsaatAlani,TotalConstructionArea,TotalConstructionArea,TotalConstructionArea,TotalConstructionArea,,ToplamInsaatAlani,param_ad,Shared Parameter,semantic_dictionary
TS,TS,TS,TS,TS,,TS,token,Param Token,semantic_dictionary
TS 500 sürümü (TS 500:2000+A1:2018),TS 500 edition (TS 500:2000+A1:2018),TS 500 edition (TS 500:2000+A1:2018),TS 500 edition (TS 500:2000+A1:2018),TS 500 edition (TS 500:2000+A1:2018),,TS500surumu(TS500:2000+A1:2018),aciklama,Description,semantic_dictionary
TS 500 uyum: Uygun / İncelemede / Revize,TS 500 compliance: Compliant / Under review / Revised,TS 500 cumplimiento: Compliant / Under review / Revised,TS 500 conformidade: Compliant / Under review / Revised,TS 500 соответствие: Compliant / Under review / Revised,,TS500uyum:Uygun/Incelemede/Revize,aciklama,Description,semantic_dictionary
TS 9111 uygunluk belgesi durumu,TS 9111 compliance certificate status,TS 9111 cumplimiento certificado estado,TS 9111 conformidade certificado estado,TS 9111 соответствие сертификат статус,,TS9111uygunlukbelgesidurumu,aciklama,Description,semantic_dictionary
TS500_StandartSurum,TS500StandardEdition,TS500StandardEdition,TS500StandardEdition,TS500StandardEdition,,TS500_StandartSurum,param_ad,Shared Parameter,semantic_dictionary
Tuketim,Consumption,Consumption,Consumption,Consumption,,Tuketim,token,Param Token,semantic_dictionary
Tuketimi,Consumption,Consumption,Consumption,Consumption,,Tuketimi,token,Param Token,semantic_dictionary
Tur,Type,Type,Type,Type,,Tur,token,Param Token,semantic_dictionary
Turu,Type,Type,Type,Type,,Turu,token,Param Token,semantic_dictionary
Tutar,Amount,Amount,Amount,Amount,,Tutar,token,Param Token,semantic_dictionary
Type,Type,Type,Type,Type,,Type,token,Param Token,semantic_dictionary
U değeri (W/m2K),U value (W/m2K),U valor (W/m2K),U valor (W/m2K),U значение (W/m2K),,Udegeri(W/m2K),aciklama,Description,semantic_dictionary
Unvani,Title,Title,Title,Title,,Unvani,token,Param Token,semantic_dictionary
Uretici,Manufacturer,Manufacturer,Manufacturer,Manufacturer,,Uretici,token,Param Token,semantic_dictionary
Uretim,Manufacturing,Manufacturing,Manufacturing,Manufacturing,,Uretim,token,Param Token,semantic_dictionary
URI,URI,URI,URI,URI,,URI,token,Param Token,semantic_dictionary
Ust,Rebar,Rebar,Rebar,Rebar,,Ust,token,Param Token,semantic_dictionary
Uw,Uw,Uw,Uw,Uw,,Uw,token,Param Token,semantic_dictionary
Uw değeri (W/m2K) TS 825,Uw value (W/m2K) per TS 825,Uw valor (W/m2K) per TS 825,Uw valor (W/m2K) per TS 825,Uw значение (W/m2K) per TS 825,,Uwdegeri(W/m2K)TS825,aciklama,Description,semantic_dictionary
Uygulanacak kural seti / kontrol paketi,Rule set / check package to be applied,regla set / control paquete to be applied,regra set / verificação pacote to be applied,правило set / проверка пакет to be applied,,Uygulanacakkuralseti/kontrolpaketi,aciklama,Description,semantic_dictionary
Uzunluk,Length,Longitud,Comprimento,Длина,,Uzunluk,manual_seed,Multilingual,manual+research_seed
Var,Exit,Exit,Exit,Exit,,Var,token,Param Token,semantic_dictionary
Vergi,Tax,Tax,Tax,Tax,,Vergi,token,Param Token,semantic_dictionary
Versiyonu,Version,Version,Version,Version,,Versiyonu,token,Param Token,semantic_dictionary
X aks referansı,X grid reference,X retícula referencia,X grelha referência,X сетка ссылка,,Xaksreferansi,aciklama,Description,semantic_dictionary
Y aks referansı,Y grid reference,Y retícula referencia,Y grelha referência,Y сетка ссылка,,Yaksreferansi,aciklama,Description,semantic_dictionary
Yalitim,Insulation,Insulation,Insulation,Insulation,,Yalitim,token,Param Token,semantic_dictionary
Yan,Side,Side,Side,Side,,Yan,token,Param Token,semantic_dictionary
Yan cephe çekme mesafesi (m),Side setback distance (m),lateral retiro distancia (m),lateral recuo distância (m),боковой отступ расстояние (m),,Yancephecekmemesafesi(m),aciklama,Description,semantic_dictionary
YAN_BorCap,FireSuppPipeDiameter,FireSuppPipeDiameter,FireSuppPipeDiameter,FireSuppPipeDiameter,,YAN_BorCap,param_ad,Shared Parameter,semantic_dictionary
YAN_BorMalzeme,FireSuppPipeMaterial,FireSuppPipeMaterial,FireSuppPipeMaterial,FireSuppPipeMaterial,,YAN_BorMalzeme,param_ad,Shared Parameter,semantic_dictionary
YAN_HazardSinifi,FireSuppHazardClass,FireSuppHazardClass,FireSuppHazardClass,FireSuppHazardClass,,YAN_HazardSinifi,param_ad,Shared Parameter,semantic_dictionary
YAN_HidrantTipi,FireSuppHydrantType,FireSuppHydrantType,FireSuppHydrantType,FireSuppHydrantType,,YAN_HidrantTipi,param_ad,Shared Parameter,semantic_dictionary
YAN_ItfaiyeBaglantisi,FireSuppHasFireBrigadeConnection,FireSuppHasFireBrigadeConnection,FireSuppHasFireBrigadeConnection,FireSuppHasFireBrigadeConnection,,YAN_ItfaiyeBaglantisi,param_ad,Shared Parameter,semantic_dictionary
YAN_KosumaDebi,FireSuppRunningFlowRate,FireSuppRunningFlowRate,FireSuppRunningFlowRate,FireSuppRunningFlowRate,,YAN_KosumaDebi,param_ad,Shared Parameter,semantic_dictionary
YAN_SistemAdi,FireSuppSystemName,FireSuppSystemName,FireSuppSystemName,FireSuppSystemName,,YAN_SistemAdi,param_ad,Shared Parameter,semantic_dictionary
YAN_SprinklerBasinc,FireSuppDesignPressure,FireSuppDesignPressure,FireSuppDesignPressure,FireSuppDesignPressure,,YAN_SprinklerBasinc,param_ad,Shared Parameter,semantic_dictionary
YAN_SprinklerDebi,FireSuppDesignFlowRate,FireSuppDesignFlowRate,FireSuppDesignFlowRate,FireSuppDesignFlowRate,,YAN_SprinklerDebi,param_ad,Shared Parameter,semantic_dictionary
YAN_SprinklerTipi,FireSuppSprinklerType,FireSuppSprinklerType,FireSuppSprinklerType,FireSuppSprinklerType,,YAN_SprinklerTipi,param_ad,Shared Parameter,semantic_dictionary
YanCekmeMesafesi,SideSetbackDistance,SideSetbackDistance,SideSetbackDistance,SideSetbackDistance,,YanCekmeMesafesi,param_ad,Shared Parameter,semantic_dictionary
Yang,Fire,Fire,Fire,Fire,,Yang,token,Param Token,semantic_dictionary
YangAcilIsikVarMi,FireHasEmergencyLighting,FireHasEmergencyLighting,FireHasEmergencyLighting,FireHasEmergencyLighting,,YangAcilIsikVarMi,param_ad,Shared Parameter,semantic_dictionary
YangBinaYuksKat,FireBuildingHeightClass,FireBuildingHeightClass,FireBuildingHeightClass,FireBuildingHeightClass,,YangBinaYuksKat,param_ad,Shared Parameter,semantic_dictionary
YangDumKontrolSis,FireSmokeControlSystem,FireSmokeControlSystem,FireSmokeControlSystem,FireSmokeControlSystem,,YangDumKontrolSis,param_ad,Shared Parameter,semantic_dictionary
YangDumTasBarieri,FireSmokeBarrier,FireSmokeBarrier,FireSmokeBarrier,FireSmokeBarrier,,YangDumTasBarieri,param_ad,Shared Parameter,semantic_dictionary
YangDuvarDirenc,FireWallResistance,FireWallResistance,FireWallResistance,FireWallResistance,,YangDuvarDirenc,param_ad,Shared Parameter,semantic_dictionary
YangHidrantVarMi,FireHasHydrant,FireHasHydrant,FireHasHydrant,FireHasHydrant,,YangHidrantVarMi,param_ad,Shared Parameter,semantic_dictionary
YangIhbarSistemi,FireFireAlarmSystem,FireFireAlarmSystem,FireFireAlarmSystem,FireFireAlarmSystem,,YangIhbarSistemi,param_ad,Shared Parameter,semantic_dictionary
Yanginda,Fire,Fire,Fire,Fire,,Yanginda,token,Param Token,semantic_dictionary
YangKacinmaYolu,FireMeansOfEscape,FireMeansOfEscape,FireMeansOfEscape,FireMeansOfEscape,,YangKacinmaYolu,param_ad,Shared Parameter,semantic_dictionary
YangKacisKorMesafe,FireEscapeDistance,FireEscapeDistance,FireEscapeDistance,FireEscapeDistance,,YangKacisKorMesafe,param_ad,Shared Parameter,semantic_dictionary
YangKapiSinifi,FireDoorFireClass,FireDoorFireClass,FireDoorFireClass,FireDoorFireClass,,YangKapiSinifi,param_ad,Shared Parameter,semantic_dictionary
YangKullanimSinifi,FireOccupancyClass,FireOccupancyClass,FireOccupancyClass,FireOccupancyClass,,YangKullanimSinifi,param_ad,Shared Parameter,semantic_dictionary
YangMerdiven,FireStair,FireStair,FireStair,FireStair,,YangMerdiven,param_ad,Shared Parameter,semantic_dictionary
YangMerdivenGenislik,FireStairWidth,FireStairWidth,FireStairWidth,FireStairWidth,,YangMerdivenGenislik,param_ad,Shared Parameter,semantic_dictionary
YangSiginmaAlani,FireRefugeArea,FireRefugeArea,FireRefugeArea,FireRefugeArea,,YangSiginmaAlani,param_ad,Shared Parameter,semantic_dictionary
YangSigortaZonNo,FireFireZoneNumber,FireFireZoneNumber,FireFireZoneNumber,FireFireZoneNumber,,YangSigortaZonNo,param_ad,Shared Parameter,semantic_dictionary
YangSprinklerTipi,FireSprinklerType,FireSprinklerType,FireSprinklerType,FireSprinklerType,,YangSprinklerTipi,param_ad,Shared Parameter,semantic_dictionary
YangSprinklerVarMi,FireHasSprinkler,FireHasSprinkler,FireHasSprinkler,FireHasSprinkler,,YangSprinklerVarMi,param_ad,Shared Parameter,semantic_dictionary
YangTehlikeSinifi,FireHazardClass,FireHazardClass,FireHazardClass,FireHazardClass,,YangTehlikeSinifi,param_ad,Shared Parameter,semantic_dictionary
YangYapiMalSinifi,FireBuildingMaterialFireClass,FireBuildingMaterialFireClass,FireBuildingMaterialFireClass,FireBuildingMaterialFireClass,,YangYapiMalSinifi,param_ad,Shared Parameter,semantic_dictionary
YangYonlendirmeVarMi,FireHasExitSignage,FireHasExitSignage,FireHasExitSignage,FireHasExitSignage,,YangYonlendirmeVarMi,param_ad,Shared Parameter,semantic_dictionary
Yangın,Fire,Fire,Fire,Fire,,Yangin,token,Param Token,semantic_dictionary
Yangın borusu malzeme: Çelik/CPVC,Fire pipe material: Steel / CPVC,incendio tubería material: Steel / CPVC,incêndio tubulação material: Steel / CPVC,пожар труба материал: Steel / CPVC,,Yanginborusumalzeme:Celik/CPVC,aciklama,Description,semantic_dictionary
Yangın borusu çapı DN (mm),Fire pipe diameter DN (mm),incendio tubería diameter DN (mm),incêndio tubulação diameter DN (mm),пожар труба diameter DN (mm),,YanginborusucapiDN(mm),aciklama,Description,semantic_dictionary
Yangın damperi var mı? (BYKHY),Is there a fire damper? (BFRR),Is there a incendio damper? (BFRR),Is there a incêndio damper? (BFRR),Is there a пожар damper? (BFRR),,Yangindamperivarmi?(BYKHY),aciklama,Description,semantic_dictionary
Yangın Dayanımı,Fire Rating,Resistencia al fuego,Resistência ao fogo,Огнестойкость,,YanginDayanimi,manual_seed,Multilingual,manual+research_seed
Yangın direnç sınıfı REI,Fire resistance class REI,incendio resistance clase REI,incêndio resistance classe REI,пожар resistance класс REI,,YangindirencsinifiREI,aciklama,Description,semantic_dictionary
Yangın direnç sınıfı REI-30/60/90/120,Fire resistance class REI-30/60/90/120,incendio resistance clase REI-30/60/90/120,incêndio resistance classe REI-30/60/90/120,пожар resistance класс REI-30/60/90/120,,YangindirencsinifiREI-30/60/90/120,aciklama,Description,semantic_dictionary
Yangın güvenlik zonu no,Fire safety zone number,incendio safety zona número,incêndio safety zona número,пожар safety зона номер,,Yanginguvenlikzonuno,aciklama,Description,semantic_dictionary
Yangın hidrantı var mı?,Is there a fire hydrant?,Is there a incendio hydrant?,Is there a incêndio hydrant?,Is there a пожар hydrant?,,Yanginhidrantivarmi?,aciklama,Description,semantic_dictionary
Yangın ihbar sistemi tipi,Fire alarm system type,incendio alarm sistema tipo,incêndio alarm sistema tipo,пожар alarm система тип,,Yanginihbarsistemitipi,aciklama,Description,semantic_dictionary
Yangın kapısı sınıfı (EI30/EI60/EI90),Fire door class (EI30/EI60/EI90),incendio puerta clase (EI30/EI60/EI90),incêndio porta classe (EI30/EI60/EI90),пожар дверь класс (EI30/EI60/EI90),,Yanginkapisisinifi(EI30/EI60/EI90),aciklama,Description,semantic_dictionary
Yangın merdiveni tipi,Fire escape stair type,incendio evacuación escalera tipo,incêndio emergência escada tipo,пожар эвакуация лестница тип,,Yanginmerdivenitipi,aciklama,Description,semantic_dictionary
Yangın sistemi kodu (örn: YAN-SPR-01),Fire system code (e.g. FIRE-SPR-01),incendio sistema código (e.g. FIRE-SPR-01),incêndio sistema código (e.g. FIRE-SPR-01),пожар система код (e.g. FIRE-SPR-01),,Yanginsistemikodu(orn:YAN-SPR-01),aciklama,Description,semantic_dictionary
Yangın sınıfı: EI30/EI60/EI90/EI120,Fire class: EI30/EI60/EI90/EI120,incendio clase: EI30/EI60/EI90/EI120,incêndio classe: EI30/EI60/EI90/EI120,пожар класс: EI30/EI60/EI90/EI120,,Yanginsinifi:EI30/EI60/EI90/EI120,aciklama,Description,semantic_dictionary
Yangın sığınma alanı (m2),Fire refuge area (m2),incendio refuge área (m2),incêndio refuge área (m2),пожар refuge площадь (m2),,Yanginsiginmaalani(m2),aciklama,Description,semantic_dictionary
Yangın tehlike sınıfı,Fire hazard class,incendio riesgo clase,incêndio risco classe,пожар опасность класс,,Yangintehlikesinifi,aciklama,Description,semantic_dictionary
Yangında çalışma süresi dk (acil devre),Fire operation duration in minutes (emergency circuit),incendio operation duration in minutes (emergencia circuit),incêndio operation duration in minutes (emergência circuit),пожар operation duration in minutes (аварийный circuit),,Yangindacalismasuresidk(acildevre),aciklama,Description,semantic_dictionary
Yap,Building,Building,Building,Building,,Yap,token,Param Token,semantic_dictionary
YapDenetFirmasi,BuildingInspectionCompany,BuildingInspectionCompany,BuildingInspectionCompany,BuildingInspectionCompany,,YapDenetFirmasi,param_ad,Shared Parameter,semantic_dictionary
YapDenetFirmaYetNo,BuildingInspectionAuthorizationNumber,BuildingInspectionAuthorizationNumber,BuildingInspectionAuthorizationNumber,BuildingInspectionAuthorizationNumber,,YapDenetFirmaYetNo,param_ad,Shared Parameter,semantic_dictionary
Yapi,Building,Building,Building,Building,,Yapi,token,Param Token,semantic_dictionary
YapiKullanimAmaci,BuildingUsePurpose,BuildingUsePurpose,BuildingUsePurpose,BuildingUsePurpose,,YapiKullanimAmaci,param_ad,Shared Parameter,semantic_dictionary
Yapim,Construction,Construction,Construction,Construction,,Yapim,token,Param Token,semantic_dictionary
YapiSeviyesi,BuildingLevel,BuildingLevel,BuildingLevel,BuildingLevel,,YapiSeviyesi,param_ad,Shared Parameter,semantic_dictionary
YapiSinifi,BuildingClass,BuildingClass,BuildingClass,BuildingClass,,YapiSinifi,param_ad,Shared Parameter,semantic_dictionary
YapiTasiyiciSistemSinifi,BuildingStructuralSystemClass,BuildingStructuralSystemClass,BuildingStructuralSystemClass,BuildingStructuralSystemClass,,YapiTasiyiciSistemSinifi,param_ad,Shared Parameter,semantic_dictionary
Yapı denetim kuruluşu adı,Building inspection organization name,edificio inspection organization nombre,edifício inspection organization nome,здание inspection organization имя,,Yapidenetimkurulusuadi,aciklama,Description,semantic_dictionary
Yapı denetim yetki belgesi no,Building inspection authorization certificate number,edificio inspection authorization certificado número,edifício inspection authorization certificado número,здание inspection authorization сертификат номер,,Yapidenetimyetkibelgesino,aciklama,Description,semantic_dictionary
Yapı malz. yangın sınıfı (A1-F/s/d),Building material fire class (A1-F/s/d),edificio material incendio clase (A1-F/s/d),edifício material incêndio classe (A1-F/s/d),здание материал пожар класс (A1-F/s/d),,Yapimalz.yanginsinifi(A1-F/s/d),aciklama,Description,semantic_dictionary
Yapı ruhsatı numarası,Building permit number,edificio permiso número,edifício licença número,здание разрешение номер,,Yapiruhsatinumarasi,aciklama,Description,semantic_dictionary
Yapı ruhsatı tarihi,Building permit date,edificio permiso fecha,edifício licença data,здание разрешение дата,,Yapiruhsatitarihi,aciklama,Description,semantic_dictionary
Yapı seviyesi: Temel/Kaba/İnce/Teslim,Construction stage: Foundation / Structural / Finishing / Handover,construcción etapa: cimentación / estructural / Finishing / Handover,construção etapa: fundação / estrutural / Finishing / Handover,строительство этап: фундамент / конструктивный / Finishing / Handover,,Yapiseviyesi:Temel/Kaba/Ince/Teslim,aciklama,Description,semantic_dictionary
Yapı sınıfı adı,Building class name,edificio clase nombre,edifício classe nome,здание класс имя,,Yapisinifiadi,aciklama,Description,semantic_dictionary
Yapı sınıfı kodu,Building class code,edificio clase código,edifício classe código,здание класс код,,Yapisinifikodu,aciklama,Description,semantic_dictionary
Yapı sınıfı: Basit/Normal/Büyük/Özel,Building class: Simple / Normal / Large / Special,edificio clase: Simple / Normal / Large / Special,edifício classe: Simple / Normal / Large / Special,здание класс: Simple / Normal / Large / Special,,Yapisinifi:Basit/Normal/Buyuk/Ozel,aciklama,Description,semantic_dictionary
Yapım türü: Tuğla/YTong/Beton/Çelik vb,Construction type: Brick / Ytong / Concrete / Steel etc.,construcción tipo: Brick / Ytong / hormigón / Steel etc.,construção tipo: Brick / Ytong / betão / Steel etc.,строительство тип: Brick / Ytong / бетон / Steel etc.,,Yapimturu:Tugla/YTong/Beton/Celikvb,aciklama,Description,semantic_dictionary
Yapının alt işlevi / detay kullanım türü,Sub-function / detailed use type of the building,Sub-function / detailed uso tipo of the edificio,Sub-function / detailed uso tipo of the edifício,Sub-function / detailed использование тип of the здание,,Yapininaltislevi/detaykullanimturu,aciklama,Description,semantic_dictionary
Yapının ana işlevi / kullanım türü,Main function / use type of the building,Main function / uso tipo of the edificio,Main function / uso tipo of the edifício,Main function / использование тип of the здание,,Yapininanaislevi/kullanimturu,aciklama,Description,semantic_dictionary
Yarıçap,Radius,Radio,Raio,Радиус,,Yaricap,manual_seed,Multilingual,manual+research_seed
Yenilenebilir,Renewable,Renewable,Renewable,Renewable,,Yenilenebilir,token,Param Token,semantic_dictionary
Yenilenebilir enerji sistemi (GES/RES vb),Renewable energy system (solar PV / wind etc.),Renewable energy sistema (solar PV / wind etc.),Renewable energy sistema (solar PV / wind etc.),Renewable energy система (solar PV / wind etc.),,Yenilenebilirenerjisistemi(GES/RESvb),aciklama,Description,semantic_dictionary
YenilenebilirEnerji,RenewableEnergy,RenewableEnergy,RenewableEnergy,RenewableEnergy,,YenilenebilirEnerji,param_ad,Shared Parameter,semantic_dictionary
Yer,Site,Site,Site,Site,,Yer,token,Param Token,semantic_dictionary
Yili,Year,Year,Year,Year,,Yili,token,Param Token,semantic_dictionary
Yonlendirme,Has,Has,Has,Has,,Yonlendirme,token,Param Token,semantic_dictionary
Yontemi,Method,Method,Method,Method,,Yontemi,token,Param Token,semantic_dictionary
Yonu,Direction,Direction,Direction,Direction,,Yonu,token,Param Token,semantic_dictionary
Yorumlar,Comments,Comentarios,Comentários,Комментарии,,Yorumlar,manual_seed,Multilingual,manual+research_seed
Yuk,Load,Load,Load,Load,,Yuk,token,Param Token,semantic_dictionary
Yuks,Height,Height,Height,Height,,Yuks,token,Param Token,semantic_dictionary
Yuksekligi,Height,Height,Height,Height,,Yuksekligi,token,Param Token,semantic_dictionary
Yukseklik,Height,Height,Height,Height,,Yukseklik,token,Param Token,semantic_dictionary
YukseklikBinaH,BuildingHeight,BuildingHeight,BuildingHeight,BuildingHeight,,YukseklikBinaH,param_ad,Shared Parameter,semantic_dictionary
Yuzde,Gradient,Gradient,Gradient,Gradient,,Yuzde,token,Param Token,semantic_dictionary
Yuzey,Surface,Surface,Surface,Surface,,Yuzey,token,Param Token,semantic_dictionary
Yükseklik,Height,Boy,Altura,Высота,,Yukseklik,manual_seed,Multilingual,manual+research_seed
ZA,ELV,ELV,ELV,ELV,,ZA,token,Param Token,semantic_dictionary
ZA_CihazAdi,ELVDeviceName,ELVDeviceName,ELVDeviceName,ELVDeviceName,,ZA_CihazAdi,param_ad,Shared Parameter,semantic_dictionary
ZA_GucTuketimi,ELVPowerConsumption,ELVPowerConsumption,ELVPowerConsumption,ELVPowerConsumption,,ZA_GucTuketimi,param_ad,Shared Parameter,semantic_dictionary
ZA_IPAdresi,ELVIPAddress,ELVIPAddress,ELVIPAddress,ELVIPAddress,,ZA_IPAdresi,param_ad,Shared Parameter,semantic_dictionary
ZA_KableTipi,ELVCableType,ELVCableType,ELVCableType,ELVCableType,,ZA_KableTipi,param_ad,Shared Parameter,semantic_dictionary
ZA_POEVarMi,ELVHasPOE,ELVHasPOE,ELVHasPOE,ELVHasPOE,,ZA_POEVarMi,param_ad,Shared Parameter,semantic_dictionary
ZA_SistemAdi,ELVSystemName,ELVSystemName,ELVSystemName,ELVSystemName,,ZA_SistemAdi,param_ad,Shared Parameter,semantic_dictionary
ZA_SistemTipi,ELVSystemType,ELVSystemType,ELVSystemType,ELVSystemType,,ZA_SistemTipi,param_ad,Shared Parameter,semantic_dictionary
ZA_ZonNo,ELVZoneNumber,ELVZoneNumber,ELVZoneNumber,ELVZoneNumber,,ZA_ZonNo,param_ad,Shared Parameter,semantic_dictionary
Zemin,Ground,Suelo,Chão,Грунт,,Zemin,token,Param Token,semantic_dictionary
Zemin kat döşemesi U değeri (W/m2K),Ground floor slab U-value (W/m2K),Ground piso losa U-valor (W/m2K),Ground andar laje U-valor (W/m2K),Ground этаж плита U-значение (W/m2K),,ZeminkatdosemesiUdegeri(W/m2K),aciklama,Description,semantic_dictionary
Zemin tipi ZA/ZB/ZC/ZD/ZE/ZF,Soil class ZA/ZB/ZC/ZD/ZE/ZF,suelo clase ZA/ZB/ZC/ZD/ZE/ZF,solo classe ZA/ZB/ZC/ZD/ZE/ZF,грунт класс ZA/ZB/ZC/ZD/ZE/ZF,,ZemintipiZA/ZB/ZC/ZD/ZE/ZF,aciklama,Description,semantic_dictionary
ZeminKatUDegeri,GroundFloorUValue,GroundFloorUValue,GroundFloorUValue,GroundFloorUValue,,ZeminKatUDegeri,param_ad,Shared Parameter,semantic_dictionary
Zon,Zone,Zone,Zone,Zone,,Zon,token,Param Token,semantic_dictionary
ZonKodu,ZoneCode,ZoneCode,ZoneCode,ZoneCode,,ZonKodu,param_ad,Shared Parameter,semantic_dictionary
Zorunlu,Mandatory,Mandatory,Mandatory,Mandatory,,Zorunlu,token,Param Token,semantic_dictionary
Zorunlu alfanümerik bilgi seviyesi,Mandatory alphanumeric information level,Mandatory alfanumérico información nivel,Mandatory alfanumérico informação nível,Mandatory буквенно-цифровой информация уровень,,Zorunlualfanumerikbilgiseviyesi,aciklama,Description,semantic_dictionary
Çakışma durumu: Temiz / X adet açık,Clash status: Clear / X open items,Clash estado: libre / X open items,Clash estado: livre / X open items,Clash статус: чистый / X open items,,Cakismadurumu:Temiz/Xadetacik,aciklama,Description,semantic_dictionary
Çakışma sorunu çözüldü mü?,Has the clash issue been resolved?,Has the clash issue been resolved?,Has the clash issue been resolved?,Has the clash issue been resolved?,,Cakismasorunucozuldumu?,aciklama,Description,semantic_dictionary
Çap,Diameter,Diámetro,Diâmetro,Диаметр,,Cap,manual_seed,Multilingual,manual+research_seed
Çatı,Roof,Cubierta,Cobertura,Крыша,CATI,Cati,manual_seed,Multilingual,manual+research_seed
Çatı eğimi (%),Roof slope (%),cubierta slope (%),cobertura slope (%),кровля slope (%),,Catiegimi(%),aciklama,Description,semantic_dictionary
Çatı kaplama malzemesi,Roof cladding material,cubierta cladding material,cobertura cladding material,кровля cladding материал,,Catikaplamamalzemesi,aciklama,Description,semantic_dictionary
Çatı sistemi tipi,Roof system type,cubierta sistema tipo,cobertura sistema tipo,кровля система тип,,Catisistemitipi,aciklama,Description,semantic_dictionary
Çatı tipi: Eğimli/Düz/Yeşil/Kombine,Roof type: Pitched / Flat / Green / Combined,cubierta tipo: Pitched / Flat / Green / Combined,cobertura tipo: Pitched / Flat / Green / Combined,кровля тип: Pitched / Flat / Green / Combined,,Catitipi:Egimli/Duz/Yesil/Kombine,aciklama,Description,semantic_dictionary
Çatı/teras U değeri (W/m2K),U value (W/m2K),U valor (W/m2K),U valor (W/m2K),U значение (W/m2K),,Cati/terasUdegeri(W/m2K),aciklama,Description,semantic_dictionary
Çerçeve sistemi (60mm/70mm/80mm sistem),Frame system (60mm / 70mm / 80mm profile),pórtico sistema (60mm / 70mm / 80mm perfil),pórtico sistema (60mm / 70mm / 80mm perfil),рама система (60mm / 70mm / 80mm профиль),,Cercevesistemi(60mm/70mm/80mmsistem),aciklama,Description,semantic_dictionary
Çevre etki sınıfı (XC1-XC4 / XS / XD / XF),Exposure class (XC1-XC4 / XS / XD / XF),Exposure clase (XC1-XC4 / XS / XD / XF),Exposure classe (XC1-XC4 / XS / XD / XF),Exposure класс (XC1-XC4 / XS / XD / XF),,Cevreetkisinifi(XC1-XC4/XS/XD/XF),aciklama,Description,semantic_dictionary
"Çizim ölçeği (1:50, 1:100, 1:200 vb)","Drawing scale (1:50, 1:100, 1:200 etc.)","dibujo scale (1:50, 1:100, 1:200 etc.)","desenho scale (1:50, 1:100, 1:200 etc.)","чертеж scale (1:50, 1:100, 1:200 etc.)",,"Cizimolcegi(1:50,1:100,1:200vb)",aciklama,Description,semantic_dictionary
Çizim/pafta numarası,Drawing / sheet number,dibujo / sheet número,desenho / sheet número,чертеж / sheet номер,,Cizim/paftanumarasi,aciklama,Description,semantic_dictionary
ÇŞB 2026 birim maliyet kapsam / hariç tutulan giderler notu,MoEUA 2026 unit cost scope / excluded expenses note,MoEUA 2026 unidad cost scope / excluded expenses nota,MoEUA 2026 unidade cost scope / excluded expenses nota,MoEUA 2026 единица cost scope / excluded expenses примечание,,CSB2026birimmaliyetkapsam/harictutulangiderlernotu,aciklama,Description,semantic_dictionary
ÇŞB 2026 yapı sınıfı ve grup adı,MoEUA 2026 building class and group name,MoEUA 2026 edificio clase and grupo nombre,MoEUA 2026 edifício classe and grupo nome,MoEUA 2026 здание класс and группа имя,,CSB2026yapisinifivegrupadi,aciklama,Description,semantic_dictionary
ÇŞB 2026 yapı sınıfı ve grup kodu (ör. III-B),MoEUA 2026 building class and group code (e.g. III-B),MoEUA 2026 edificio clase and grupo código (e.g. III-B),MoEUA 2026 edifício classe and grupo código (e.g. III-B),MoEUA 2026 здание класс and группа код (e.g. III-B),,CSB2026yapisinifivegrupkodu(or.III-B),aciklama,Description,semantic_dictionary
ÇŞB 2026 yapı yaklaşık birim maliyeti (TL/m²),MoEUA 2026 approximate unit construction cost (TRY/m²),MoEUA 2026 approximate unidad construcción cost (TRY/m²),MoEUA 2026 approximate unidade construção cost (TRY/m²),MoEUA 2026 approximate единица строительство cost (TRY/m²),,CSB2026yapiyaklasikbirimmaliyeti(TL/m²),aciklama,Description,semantic_dictionary
